communityName,Type,BfZ,KP,all2019,ind2019,sheltInd2019,unsheltInd2019,chind2019
"Akron, Barberton/Summit County CoC",Largely Suburban CoC,,,546,425,338,87,54
Alabama Balance of State CoC,Largely Rural CoC,,,323,218,89,129,16
Alaska Balance of State CoC,Largely Rural CoC,,,796,585,416,169,152
Albany City & County CoC,Largely Suburban CoC,,,750,543,509,34,91
Albuquerque CoC,Major City CoC,x,,1524,1224,677,547,564
Alexandria CoC,Other Largely Urban CoC,,,198,124,114,10,38
Alexandria/Central Louisiana CoC,Largely Rural CoC,,,114,87,68,19,21
"Alpine, Inyo, Mono Counties CoC",Largely Rural CoC,,,214,198,9,189,79
"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Largely Rural CoC,,,845,663,56,607,227
Amarillo CoC,Other Largely Urban CoC,,,777,627,296,331,265
Anchorage CoC,Other Largely Urban CoC,x,,1111,799,702,97,79
Annapolis/Anne Arundel County CoC,Largely Suburban CoC,,,302,225,166,59,71
Appalachian Regional CoC,Largely Rural CoC,,,405,294,156,138,51
Arizona Balance of State CoC,Largely Rural CoC,,,2021,1575,682,893,515
Arkansas  Balance of State  CoC,Largely Rural CoC,,,811,736,232,504,169
Arlington County CoC,Other Largely Urban CoC,x,x,215,149,113,36,74
Asheville/Buncombe County CoC,Largely Suburban CoC,,,580,539,467,72,121
Athens-Clarke County CoC,Other Largely Urban CoC,,,237,161,106,55,36
Atlanta CoC,Major City CoC,x,x,3217,2718,2001,717,364
Atlantic City & County CoC,Largely Suburban CoC,,,357,328,232,96,60
"Attleboro, Taunton/Bristol County CoC",Largely Suburban CoC,,,256,72,38,34,14
Augusta-Richmond County CoC,Other Largely Urban CoC,,,384,312,167,145,33
"Aurora, Elgin/Kane County CoC",Largely Suburban CoC,,,388,335,290,45,126
Austin/Travis County CoC,Major City CoC,,,2255,1701,628,1073,587
Bakersfield/Kern County CoC,Other Largely Urban CoC,x,x,1330,1118,348,770,64
Baltimore City CoC,Major City CoC,x,x,2294,1944,1573,371,579
Baltimore County CoC,Largely Suburban CoC,,,735,438,232,206,141
Battle Creek/Calhoun County CoC,Other Largely Urban CoC,,,241,162,126,36,31
Beaver County CoC,Largely Suburban CoC,,,123,52,46,6,0
Bergen County CoC,Largely Suburban CoC,x,,271,177,173,4,11
"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Count",Largely Rural CoC,,,318,255,246,9,0
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Largely Suburban CoC,,,981,805,495,310,97
Bloomington/Central Illinois CoC,Largely Rural CoC,,,319,223,168,55,44
Boise/Ada County CoC,Other Largely Urban CoC,,,713,568,507,61,186
Boston CoC,Major City CoC,,,6242,2392,2271,121,508
"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",Other Largely Urban CoC,,,771,474,378,96,56
"Bristol, Bensalem/Bucks County CoC",Largely Suburban CoC,,,359,156,135,21,30
"Bryan, College Station/Brazos Valley CoC",Other Largely Urban CoC,,,123,92,74,18,16
"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",Largely Suburban CoC,,,924,551,518,33,31
Burlington County CoC,Largely Suburban CoC,,,518,239,216,23,18
Burlington/Chittenden County CoC,Other Largely Urban CoC,x,,309,228,180,48,58
Cambridge CoC,Other Largely Urban CoC,,,555,384,326,58,209
"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",Largely Suburban CoC,,,979,781,562,219,224
"Canton, Massillon, Alliance/Stark County CoC",Largely Suburban CoC,,,273,121,104,17,4
Cape Cod Islands CoC,Largely Suburban CoC,,,371,176,138,38,60
Carroll County CoC,Largely Suburban CoC,,,144,105,88,17,41
Cattaragus County CoC,Largely Rural CoC,,,33,26,26,0,1
Cecil County CoC,Largely Suburban CoC,,,126,77,59,18,14
Central Oregon CoC,Largely Rural CoC,,,880,637,212,425,115
Central Tennessee CoC,Largely Rural CoC,,,357,266,219,47,49
Central Virginia CoC,Largely Rural CoC,x,,78,54,40,14,5
"Champaign, Urbana, Rantoul/Champaign County CoC",Other Largely Urban CoC,,,151,81,79,2,10
Chapel Hill/Orange County CoC,Other Largely Urban CoC,,,131,103,76,27,19
"Charles, Calvert, St.Mary's Counties CoC",Largely Suburban CoC,,,306,228,132,96,67
"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",Largely Suburban CoC,,,293,236,234,2,50
Charleston/Low Country CoC,Largely Suburban CoC,,,403,351,223,128,86
Charlotte-Mecklenburg CoC,Major City CoC,x,,1742,1223,1027,196,235
Charlottesville CoC,Largely Rural CoC,x,,165,143,117,26,30
Chattanooga/Southeast Tennessee CoC,Largely Rural CoC,x,,463,367,202,165,87
Chester County CoC,Largely Suburban CoC,x,,528,386,374,12,19
Chicago CoC,Major City CoC,,,5290,3318,2064,1254,914
"Chico, Paradise/Butte County CoC",Largely Rural CoC,,,1266,1067,247,820,227
Cincinnati/Hamilton County CoC,Largely Suburban CoC,,,1082,793,762,31,69
"Citrus, Hernando, Lake, Sumter Counties CoC",Largely Suburban CoC,,,677,499,184,315,68
Clackamas County CoC,Largely Suburban CoC,x,x,471,385,178,207,175
Cleveland/Cuyahoga County CoC,Largely Suburban CoC,,,1618,1228,1122,106,212
Clinton County CoC,Largely Rural CoC,,,164,131,130,1,24
Colorado BoS Fremont County,Largely Rural CoC,x,,2302,1783,1085,698,665
Colorado BoS Mesa County,Largely Rural CoC,x,,2302,1783,1085,698,665
Colorado BoS Roaring Fork,Largely Rural CoC,x,,2302,1783,1085,698,665
Columbia-Boone County/Missouri Balance of State CoC,Largely Rural CoC,x,,1362,916,603,313,226
"Columbia, Greene Counties CoC",Largely Rural CoC,,,200,97,93,4,8
"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",Largely Rural CoC,,,538,454,58,396,41
Columbia/Midlands CoC,Largely Suburban CoC,,,1215,980,705,275,277
Columbus-Muscogee CoC,Other Largely Urban CoC,,,278,217,165,52,20
Columbus/Franklin County CoC,Major City CoC,,,1907,1350,982,368,97
"Colusa, Glenn, Trinity Counties CoC",Largely Rural CoC,,,192,136,3,133,42
Connecticut Balance of State CoC,Largely Suburban CoC,,,2262,1626,1270,356,146
Cook County CoC,Largely Suburban CoC,x,,897,573,468,105,133
Cumberland/Allegany County CoC,Largely Suburban CoC,,,145,95,58,37,13
"Dakota, Anoka, Washington, Scott, Carver Counties",Largely Suburban CoC,,,686,372,185,187,105
"Dallas City & County, Irving CoC",Major City CoC,,,4538,3513,2071,1442,515
Daly/San Mateo County CoC,Largely Suburban CoC,,,1512,1111,272,839,318
"Davis, Woodland/Yolo County CoC",Largely Suburban CoC,,,655,521,124,397,163
"Dayton, Kettering/Montgomery County CoC",Largely Suburban CoC,,,681,545,496,49,28
"Dearborn, Dearborn Heights, Westland/Wayne County CoC",Largely Suburban CoC,,,222,90,73,17,12
Decatur/Macon County CoC,Other Largely Urban CoC,,,169,119,108,11,25
DeKalb County CoC,Largely Suburban CoC,,,375,261,64,197,36
Delaware Statewide CoC,Largely Suburban CoC,,,921,565,489,76,119
"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",Largely Suburban CoC,,,875,574,103,471,78
Des Moines/Polk County CoC,Other Largely Urban CoC,,,681,558,466,92,95
Detroit CoC,Major City CoC,x,,1965,1400,1314,86,263
District of Columbia CoC,Major City CoC,x,x,6521,3875,3267,608,1374
Duluth/St.Louis County CoC,Largely Rural CoC,,,519,315,146,169,148
DuPage County CoC,Largely Suburban CoC,,,309,187,177,10,31
Durham City & County CoC,Other Largely Urban CoC,,,361,252,175,77,64
"East St. Louis, Belleville/St. Clair County CoC",Largely Suburban CoC,,,247,107,55,52,31
Eastern Pennsylvania CoC,Largely Rural CoC,,,1843,1083,758,325,127
Eaton County CoC,Largely Suburban CoC,,,114,3,3,0,0
El Dorado County CoC,Largely Suburban CoC,,,613,536,114,422,111
El Paso City and County CoC,Major City CoC,x,,809,527,344,183,111
Elizabeth/Union County CoC,Largely Suburban CoC,,,437,240,201,39,58
"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",Largely Rural CoC,,,240,129,122,7,3
Erie City & County CoC,Largely Suburban CoC,,,356,255,249,6,34
"Eugene, Springfield/Lane County CoC",Other Largely Urban CoC,x,x,2165,1908,374,1534,783
Everett/Snohomish County CoC,Largely Suburban CoC,,,1116,779,272,507,405
Fairfax County CoC,Largely Suburban CoC,x,x,1034,508,419,89,213
Fall River CoC,Largely Suburban CoC,,,320,66,62,4,36
Fayetteville/Cumberland County CoC,Other Largely Urban CoC,,,329,222,12,210,122
Fayetteville/Northwest Arkansas CoC,Other Largely Urban CoC,x,,518,439,223,216,120
Flint/Genesee County CoC,Largely Suburban CoC,x,,450,288,240,48,49
Florence/Northwest Alabama CoC,Largely Rural CoC,,,390,383,182,201,21
"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",Largely Suburban CoC,,,1499,754,52,702,51
Fort Smith CoC,Largely Rural CoC,,,247,187,127,60,98
"Fort Walton Beach/Okaloosa, Walton Counties CoC",Largely Suburban CoC,,,399,319,114,205,215
Fort Worth/Arlington/Tarrant County CoC,Major City CoC,x,,2028,1597,1047,550,284
"Franklin, Essex Counties CoC",Largely Rural CoC,,,24,22,19,3,0
Frederick City & County CoC,Largely Suburban CoC,,,286,212,134,78,37
"Fredericksburg/Spotsylvania, Stafford Counties CoC",Largely Suburban CoC,,,221,132,96,36,30
Fresno/Madera County CoC,Major City CoC,x,x,2508,2267,214,2053,692
Ft Lauderdale/Broward County CoC,Largely Suburban CoC,,,2803,2341,1019,1322,856
"Ft Myers, Cape Coral/Lee County CoC",Largely Suburban CoC,,,372,257,129,128,86
Fulton County CoC,Largely Suburban CoC,,,632,400,330,70,68
Gadsden/Northeast Alabama CoC,Largely Rural CoC,,,224,189,62,127,25
Garrett County CoC,Largely Rural CoC,,,12,12,11,1,1
"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",Largely Suburban CoC,,,324,236,164,72,58
Georgia Balance of State CoC,Largely Rural CoC,,,4183,2960,799,2161,284
Glendale CoC,Other Largely Urban CoC,,,243,162,30,132,60
"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties Co",Largely Suburban CoC,,,268,209,202,7,40
"Gloucester, Haverhill, Salem/Essex County CoC",Largely Suburban CoC,,,760,261,210,51,68
"Grand Rapids, Wyoming/Kent County CoC",Other Largely Urban CoC,,,759,435,419,16,113
"Grand Traverse, Antrim, Leelanau Counties CoC",Largely Rural CoC,,,168,122,118,4,38
Greater Kansas City Coalition to End Homelessness,Major City CoC,x,,1979,1392,1084,308,305
"Greenville, Anderson, Spartanburg/Upstate CoC",Largely Suburban CoC,,,1401,1086,669,417,305
Guam CoC,Largely Rural CoC,,,875,258,28,230,26
Guilford County CoC,Other Largely Urban CoC,x,,586,460,399,61,38
Gulfport/Gulf Coast Regional CoC,Largely Rural CoC,x,,296,237,46,191,19
Hagerstown/Washington County CoC,Largely Suburban CoC,,,249,202,139,63,38
Harford County CoC,Largely Suburban CoC,,,228,96,73,23,19
Harrisburg/Dauphin County CoC,Largely Suburban CoC,,,418,287,242,45,60
Hawaii Balance of State CoC,Largely Rural CoC,,,1995,1324,251,1073,550
"Hendry, Hardee, Highlands Counties CoC",Largely Rural CoC,,,398,242,0,242,179
Holland/Ottawa County CoC,Largely Suburban CoC,,,225,128,113,15,0
Honolulu CoC,Largely Suburban CoC,x,x,4417,3096,983,2113,1042
"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Major City CoC,,,3938,2957,1343,1614,616
Howard County CoC,Largely Suburban CoC,,,201,98,55,43,31
Humboldt County CoC,Largely Rural CoC,,,1702,1578,190,1388,454
"Huntington/Cabell, Wayne Counties CoC",Largely Rural CoC,,,171,157,108,49,10
Huntsville/North Alabama CoC,Other Largely Urban CoC,,,464,340,253,87,94
Idaho Balance of State CoC,Largely Rural CoC,,,1602,948,324,624,170
Imperial County CoC,Largely Suburban CoC,,,1413,1120,96,1024,399
Indiana Balance of State CoC,Largely Rural CoC,,,3904,2628,2115,513,214
Indianapolis CoC,Major City CoC,,,1567,1155,1055,100,100
Iowa Balance of State CoC,Largely Rural CoC,,,1379,854,772,82,185
Ithaca/Tompkins County CoC,Largely Rural CoC,,,171,122,122,0,51
Jackson City & County CoC,Largely Rural CoC,,,113,90,77,13,7
"Jackson/Rankin, Madison Counties CoC",Largely Suburban CoC,x,,408,346,240,106,166
Jackson/West Tennessee CoC,Largely Rural CoC,,,959,514,66,448,51
"Jacksonville-Duval, Clay Counties CoC",Major City CoC,x,,1654,1365,857,508,285
"Jamestown, Dunkirk/Chautauqua County CoC",Largely Rural CoC,,,96,55,55,0,2
"Jefferson, Lewis, St. Lawrence Counties CoC",Largely Rural CoC,,,53,39,35,4,0
"Jersey City, Bayonne/Hudson County CoC",Largely Suburban CoC,,,890,722,458,264,226
"Joliet, Bolingbrook/Will County CoC",Largely Suburban CoC,,,278,187,144,43,18
"Joplin/Jasper, Newton Counties CoC",Largely Rural CoC,,,237,188,141,47,22
Kansas BoS Douglas County,Largely Rural CoC,x,,1056,787,558,229,84
Kentucky Balance of State CoC,Largely Rural CoC,,,2221,1588,996,592,182
Kingston/Ulster County CoC,Largely Rural CoC,,,432,167,130,37,22
Knoxville/Knox County CoC,Largely Suburban CoC,,,800,726,531,195,149
Lafayette/Acadiana CoC,Largely Rural CoC,,,360,279,129,150,75
Lake County CoC,Largely Rural CoC,,,408,345,10,335,221
Lake County/North Chicago,Largely Suburban CoC,x,,252,157,125,32,25
"Lakeland, Winterhaven/Polk County CoC",Largely Suburban CoC,,,563,374,260,114,77
Lakewood Township/Ocean County CoC,Largely Suburban CoC,,,305,179,151,28,38
Lancaster City & County CoC,Largely Suburban CoC,x,,422,246,234,12,12
"Lansing, East Lansing/Ingham County CoC",Other Largely Urban CoC,,,476,303,293,10,40
Las Vegas/Clark County CoC,Major City CoC,,,5530,5188,1896,3292,596
Lenawee County CoC,Largely Rural CoC,,,123,60,57,3,6
Lexington-Fayette County CoC,Other Largely Urban CoC,,,787,676,665,11,103
Lincoln CoC,Other Largely Urban CoC,,,449,279,235,44,90
Little Rock/Central Arkansas CoC,Other Largely Urban CoC,,,1066,906,355,551,289
Livingston County CoC,Largely Suburban CoC,,,89,40,40,0,1
Long Beach CoC,Major City CoC,,,1894,1700,471,1229,624
Los Angeles City & County CoC,Major City CoC,,,56257,47810,6966,40844,14906
Loudoun County CoC,Largely Suburban CoC,,,167,124,53,71,37
Louisiana Balance of State CoC,Largely Suburban CoC,,,593,503,286,217,110
Louisville-Jefferson County CoC,Major City CoC,,,1071,809,691,118,194
Lowell CoC,Largely Suburban CoC,,,784,221,205,16,26
"Lower Merion, Norristown, Abington/Montgomery County CoC",Largely Suburban CoC,,,246,115,96,19,27
Lynn CoC,Largely Suburban CoC,,,1035,78,73,5,43
Madison County CoC,Largely Suburban CoC,,,101,57,37,20,4
Madison/Dane County CoC,Other Largely Urban CoC,x,,578,354,279,75,89
Maine Statewide CoC,Largely Rural CoC,,,2106,1232,1140,92,211
Manchester CoC,Other Largely Urban CoC,,,461,274,223,51,35
Marietta/Cobb County CoC,Largely Suburban CoC,,,451,306,190,116,58
Marin County CoC,Largely Suburban CoC,x,x,1034,887,196,691,250
"Marquette, Alger Counties CoC",Largely Rural CoC,,,53,30,30,0,2
Massachusetts Balance of State CoC,Largely Suburban CoC,,,1918,505,324,181,49
McHenry County CoC,Largely Suburban CoC,x,,159,93,92,1,16
"Medford, Ashland/Jackson County CoC",Largely Suburban CoC,,,712,602,263,339,180
Memphis/Shelby County CoC,Major City CoC,,,1325,761,703,58,74
Mendocino County CoC,Largely Rural CoC,,,785,681,152,529,118
Merced City & County CoC,Largely Suburban CoC,,,608,419,144,275,174
Metro Denver CoC,Major City CoC,x,x,5755,4353,3425,928,1124
